"x.1","x.2","classes"
-0.684739369899035,0.284791960846633,"1"
-0.574069956317544,0.905401617754251,"1"
0.155954291112721,0.840196963399649,"2"
0.326125647872686,-0.823316403664649,"1"
0.46574072772637,-0.980678620282561,"1"
0.894726170226932,0.706281501799822,"2"
-0.56116184219718,0.476421235129237,"1"
0.984550868626684,-0.668263789266348,"1"
-0.117038385942578,-0.0484230094589293,"2"
0.562025899067521,0.806192499119788,"2"
0.0293089598417282,-0.643417897634208,"1"
0.550767101347446,0.0469559244811535,"2"
-0.680252281017601,0.497214981820434,"1"
-0.0882311300374568,-0.370501254219562,"2"
0.429190968628973,0.86278460919857,"2"
-0.367862657643855,-0.754596687387675,"2"
-0.374065564479679,0.37113129766658,"1"
0.770513192750514,-0.977125468663871,"1"
-0.826369157060981,-0.955510698724538,"2"
-0.315933904144913,0.560489279218018,"1"
-0.304167496506125,0.701525282580405,"1"
0.262478578370064,-0.662780755665153,"1"
0.231002035550773,0.546901816036552,"2"
0.238279337063432,0.377878197003156,"2"
-0.429049431346357,0.151278400793672,"1"
0.010726026725024,-0.66878010565415,"1"
0.32162555726245,0.998546580784023,"2"
0.323710591997951,-0.309031424112618,"1"
-0.246547952760011,0.104306652210653,"1"
0.784484543837607,0.492456302512437,"2"
-0.51949977921322,-0.787016249727458,"2"
-0.839834333863109,0.258045438677073,"1"
-0.252727890387177,0.635734949726611,"1"
0.483964106533676,-0.943735767621547,"1"
0.450888778083026,-0.809366013389081,"1"
-0.960572006180882,-0.968822533264756,"2"
0.428267656359822,0.571881902869791,"2"
0.64946242235601,0.0676968148909509,"2"
-0.249926676042378,-0.387253470718861,"2"
0.0721806567162275,-0.535053699277341,"1"
-0.480305737815797,0.147294058464468,"1"
0.804586831945926,0.174993628636003,"2"
-0.633891503326595,-0.239131649024785,"2"
-0.108148527797312,-0.172603267710656,"2"
-0.0118173509836197,-0.123793350998312,"2"
0.818940584082156,-0.641643123235554,"1"
-0.604203565977514,-0.992401666473597,"2"
0.619436107575893,0.364437570795417,"2"
0.220611017663032,0.145867003127933,"2"
0.546248116064817,-0.991440598387271,"1"
-0.227266750764102,-0.83116393815726,"2"
0.0135670625604689,0.220933418720961,"2"
0.256090781651437,0.497709731571376,"2"
-0.693909600377083,-0.33939553424716,"2"
0.804386661853641,0.512164535466582,"2"
-0.618763101752847,0.15408865083009,"1"
0.246150210034102,-0.273413501679897,"1"
-0.875939194113016,-0.728432707488537,"2"
0.486088116187602,0.324714806396514,"2"
0.171137692406774,0.536763213109225,"2"
-0.129628001246601,-0.627091225702316,"2"
-0.378014472313225,-0.967485864646733,"2"
-0.78004554938525,0.74322515912354,"1"
-0.0659984312951565,-0.246893156319857,"2"
-0.255534320138395,-0.47829503333196,"2"
-0.404619412962347,-0.246613948140293,"2"
-0.912478620186448,-0.767367837950587,"2"
-0.586562670767307,0.2528993668966,"1"
-0.224892281461507,-0.448449548333883,"2"
0.693527576513588,0.853651845827699,"2"
0.322415088769048,-0.0508761308155954,"1"
0.639016553293914,0.457092652563006,"2"
0.0501010795123875,-0.254309640266001,"1"
-0.981483261566609,0.827775133773685,"1"
-0.458501158747822,0.747823282610625,"1"
-0.354894452728331,0.581221533939242,"1"
0.517504676710814,0.743162063416094,"2"
-0.105153589043766,0.443643540143967,"1"
0.548221104312688,-0.0578347272239625,"1"
-0.885031629353762,-0.996861149556935,"2"
0.560673393774778,-0.372171433176845,"1"
-0.201540400274098,0.187347554601729,"1"
-0.028013892006129,0.165773155167699,"1"
-0.868787835817784,-0.861848261207342,"2"
-0.446098668966442,0.475463414099067,"1"
0.103799419943243,-0.688525160774589,"1"
0.381265514530241,0.82515461742878,"2"
-0.570011605042964,-0.617741373833269,"2"
-0.100348491687328,0.333624637685716,"1"
-0.973580758087337,-0.957960548810661,"2"
-0.644879238680005,0.215710088610649,"1"
0.0322451014071703,-0.670994789805263,"1"
-0.469478214625269,-0.0963792260736227,"2"
-0.363156958017498,-0.191326945088804,"2"
-0.273154000751674,-0.150870157405734,"2"
0.964222056791186,-0.569672284182161,"1"
-0.97367283096537,-0.833159345202148,"2"
-0.98211775533855,-0.917426794301718,"2"
-0.542044628411531,0.356125284917653,"1"
0.0761006316170096,-0.59716851869598,"1"
