,model_name,mean,std,lower_ci,upper_ci,average,dataset
0,Adaline,0.08515634861387342,0.1377144756949151,0.0043702937708248735,0.1685638956076696,0.08515634861387342,Airfoil Noise
1,ELM,0.39109590024109997,0.32716209265854385,0.2197152083396816,0.5936610355712927,0.3910959002411001,Airfoil Noise
2,ELMHebbian,-1.2773763226535535,1.969121322764222,-2.3505290237124488,-0.0633031628740417,-1.2773763226535535,Airfoil Noise
3,RBF,-0.1974210729610752,0.2850384433490027,-0.3487166153951194,-0.025317817512247542,-0.19742107296107517,Airfoil Noise
4,Adaline,0.8815333387472679,0.07674928852272705,0.8349946951541488,0.9252636399570691,0.8815333387472679,Parkinsons
5,ELM,0.5263928219888749,0.3191280106568474,0.3342784967922051,0.7136162905947981,0.5263928219888749,Parkinsons
6,ELMHebbian,-14.886946266150726,8.93310585958396,-20.462693484583504,-9.686955516323387,-14.886946266150726,Parkinsons
7,RBF,-0.37278008240076743,0.4707459023422528,-0.6281130203460026,-0.09234304156498296,-0.37278008240076743,Parkinsons
8,Adaline,-0.17433085421836608,1.3508636768883777,-0.8117613584545388,0.6472184709539116,-0.17433085421836608,Boston Housing
9,ELM,-0.47663886140030576,1.689204140689627,-1.2801894730689543,0.5986561518125815,-0.47663886140030576,Boston Housing
10,ELMHebbian,-14.60552684974185,14.62801115352274,-22.02363391072866,-6.310890244669505,-14.605526849741846,Boston Housing
11,RBF,-1.4238327050890864,1.9360466919588346,-2.4371625372868544,-0.06205539433111973,-1.4238327050890867,Boston Housing
