"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","Class"
2.704591743403e-31,0.447217345237732,0.447212427854538,0.447210788726807,6.36556812148962e-25,4.33860580274233e-25,0,2.34894757325381e-31,2.92557563005109e-32,1.78877014112642e-33,0,0.447214365005493,5.81667219553437e-24,0.44721308350563,4.00637421308625e-33,2.18894329009345e-05,2.78445466311025e-26,3.04719450902643e-31,0,2.10131747735431e-05,1
0,8.24054950498976e-05,8.58460334711708e-05,8.12553407740779e-05,0,0,0,1.14667055225538e-29,3.74575131980361e-33,0,0,8.23684167698957e-05,4.58556434210575e-30,8.52124430821277e-05,1.7628154193964e-37,0.706471562385559,0,0,0,0.707741379737854,2
4.30775057715693e-36,9.88663018119951e-08,1.2534781035356e-07,1.04200601924731e-07,1.12757049937761e-35,0,0,1.92178467376166e-33,1.70584658321223e-38,2.27634220500544e-25,0,2.23965244572355e-07,6.37611427601274e-29,8.09054725436908e-08,2.48492302417102e-35,0.706764101982117,0,1.64211489294662e-27,0,0.707449436187744,2
6.10395057726452e-33,1.68542033662789e-08,1.94436324818525e-08,1.83089934324698e-08,0,0,0,4.59398951272491e-33,9.07203148141122e-39,9.35848600800375e-29,0,2.97257436443488e-08,1.13490123950421e-30,1.47446703735454e-08,0,0.705863833427429,0,1.66834533665949e-33,0,0.70834755897522,2
4.18164023712286e-34,0.448314815759659,0.445973575115204,0.447344243526459,1.16347122758784e-24,0,0,2.64419178737244e-31,7.85363468633954e-32,0,0,0.447706758975983,2.71566549913691e-25,0.446724951267242,3.00495500950414e-35,3.62583850801457e-05,0,2.65580004043553e-36,0,3.53135619661771e-05,1
1.19345155517375e-31,0.45106703042984,0.446855455636978,0.443629592657089,4.11314554046579e-32,0,5.35551047719559e-34,3.05096162047449e-29,2.36867346313972e-34,0,0,0.450157970190048,6.88807881645123e-28,0.444307625293732,0,1.10461706448461e-09,0,0,0,1.10171960443495e-09,1
1.06004319203457e-38,2.72957493052672e-07,2.94862559258036e-07,2.78422334076822e-07,0,0,0,4.07784169822235e-33,4.89516153061974e-38,0,0,2.70933583124133e-07,2.8452375514155e-27,2.94371432119078e-07,0,0.705744326114655,0,0,0,0.708466649055481,2
7.71359298970037e-31,4.12227673223242e-05,4.39944305981044e-05,4.40737094322685e-05,3.68414790710283e-38,0,0,3.1791778570723e-26,5.50603168865566e-25,0,0,4.59427210444119e-05,7.62296989841582e-31,4.13460729760118e-05,2.32126676779442e-32,0.706492185592651,0,0,0,0.707720875740051,2
9.54062553618682e-28,0.445808589458466,0.44842991232872,0.44757205247879,1.23279602700503e-32,0,0,2.5834662607841e-28,2.83343324993392e-29,0,0,0.445265769958496,1.23350605223433e-25,0.448978900909424,9.44250734786542e-35,0.000636840064544231,0,0,0,0.00063259934540838,1
1.31540830061288e-33,1.51527768110782e-09,1.89030968655857e-09,1.74802383678951e-09,0,0,0,4.78376104521517e-34,0,5.01122272876792e-24,0,3.496082534582e-09,3.56374076909414e-30,1.25869648037735e-09,7.32588467540378e-39,0.706849277019501,0,1.10763529538858e-31,0,0.707364141941071,2
