"Sim1","Sim2","Class"
0.999992522457792,0.000351224870551908,1
0.000499925050897914,0.999998190832801,2
0.000313683319958937,0.999997994703168,2
0.000313441652766188,0.999998193728747,2
0.999991448508926,0.000371493115946122,1
0.99997301365752,0.000320885533295061,1
0.00031402820219542,0.999998126607305,2
0.000410255278708883,0.999998207116656,2
0.9999860346968,0.00121850757326161,1
0.000313404716891668,0.999997747623795,2
0.000313798614263397,0.999997361122795,2
0.000752660689683347,0.999998321930346,2
0.99998744119918,0.000600082593411614,1
0.000363128313082352,0.999998135537481,2
0.000313485190739249,0.99999811595326,2
0.999988922865035,0.00037605376964085,1
0.999992516752069,0.000335264086560987,1
0.000637058569983592,0.999997805933614,2
0.000324113261184463,0.999998219297213,2
0.000313494482687361,0.999998284069069,2
0.000345511140376279,0.999998134156754,2
0.999986616025752,0.0003243017310647,1
0.999990459145272,0.00032455162608888,1
0.999992492806653,0.000343248593076056,1
0.999986183921536,0.000321735150110587,1
0.999989048981239,0.000328651183178314,1
0.000450405558949366,0.999998239758904,2
0.999978837926789,0.000802772367984771,1
0.999986917011237,0.000321508567681093,1
0.000642331013100963,0.999998215931453,2
0.999992494203767,0.000320889027389202,1
0.999992576015843,0.000320888337587568,1
0.000803431358571378,0.999998057044751,2
0.999988905152255,0.000321098832645371,1
0.000617173405123416,0.999998283457124,2
0.999989652640851,0.000328015094546213,1
0.999986099241585,0.000324808038616574,1
0.000741028152956658,0.999998298280844,2
0.999987832668188,0.000321400484479057,1
0.000533102434923948,0.999997759848501,2
0.00044658846830457,0.999998324708028,2
0.000898290117000202,0.999997942295425,2
0.000313407173041551,0.999998028663929,2
0.00064090062867527,0.999998290920041,2
0.00031341819774624,0.999997552721613,2
0.999988370870468,0.00032151616455951,1
0.000962504676126828,0.999998238998904,2
0.000313441194695701,0.999998265209893,2
0.000942955413360872,0.999997884858276,2
0.999982326848438,0.000320966187269722,1
0.000313452940335456,0.999998281622274,2
0.999988065325686,0.000322643411451507,1
0.000313920872620795,0.999997527322001,2
0.999990739210816,0.000331832419747623,1
0.99999233557469,0.000335165748226847,1
0.999991698114396,0.000322696708215024,1
0.000424490388919353,0.999998115734074,2
0.00031348131760663,0.999998273452296,2
0.000401775673295881,0.999998116663037,2
0.000347878387698506,0.999998071930211,2
0.000313908065584985,0.999997719986849,2
0.999990244216291,0.000384203450682053,1
0.999901143039906,0.00181620812138191,1
0.00031344627662903,0.999998276892194,2
0.999987186529592,0.000321675308816938,1
0.00036379410078259,0.999998241486115,2
0.999988798232011,0.000351772067245893,1
0.999985765879154,0.000321541075798893,1
0.999980467750953,0.000321833990509612,1
0.999990914106034,0.000323875632396557,1
0.999992528833772,0.000386060932980841,1
0.00410709874168766,0.999992216150745,2
